Source,Target,Weight,July19Topic,PostDate
User7406,Post281,1,12,Feb-17
User7404,Post287,1,1,Apr-17
User7404,Post507,1,8,Mar-17
User7402,Post571,1,12,Feb-17
User7399,Post571,1,12,Feb-17
User7397,Post035,1,12,Apr-17
User7396,Post065,1,3,Apr-17
User7396,Post249,1,17,Mar-17
User7393,Post536,1,14,Jan-17
User7392,Post548,1,10,Mar-17
User7385,Post536,1,14,Jan-17
User7376,Post548,1,10,Mar-17
User7375,Post500,1,5,Mar-17
User7374,Post252,1,7,Apr-17
User7369,Post120,1,8,Mar-17
User7368,Post035,1,12,Apr-17
User7368,Post036,1,1,Apr-17
User7368,Post076,1,10,Feb-17
User7368,Post044,1,16,Feb-17
User7360,Post201,1,13,Mar-17
User7355,Post417,1,11,Feb-17
User7355,Post281,1,12,Feb-17
User7353,Post281,1,12,Feb-17
User7352,Post500,1,5,Mar-17
User7350,Post543,1,8,Feb-17
User7349,Post536,1,14,Jan-17
User7346,Post035,1,12,Apr-17
User7346,Post036,1,1,Apr-17
User7346,Post152,1,5,Mar-17
User7345,Post343,1,2,Apr-17
User7345,Post546,1,9,Mar-17
User7343,Post066,1,12,Mar-17
User7342,Post281,1,12,Feb-17
User7341,Post274,1,8,Mar-17
User7340,Post281,1,12,Feb-17
User7338,Post597,1,1,Apr-17
User7337,Post571,1,12,Feb-17
User7337,Post281,1,12,Feb-17
User7333,Post281,1,12,Feb-17
User7332,Post252,1,7,Apr-17
User7331,Post287,1,1,Apr-17
User7329,Post281,1,12,Feb-17
User7325,Post036,1,1,Apr-17
User7325,Post079,1,2,Mar-17
User7323,Post447,1,1,Mar-17
User7321,Post550,1,8,Apr-17
User7318,Post281,1,12,Feb-17
User7317,Post281,1,12,Feb-17
User7302,Post567,1,7,Apr-17
User7302,Post463,1,1,Apr-17
User7300,Post439,1,12,Apr-17
User7299,Post338,1,15,Apr-17
User7298,Post281,1,12,Feb-17
User7296,Post439,1,12,Apr-17
User7294,Post036,1,1,Apr-17
User7293,Post281,1,12,Feb-17
User7289,Post447,1,1,Mar-17
User7288,Post120,1,8,Mar-17
User7281,Post470,1,8,Mar-17
User7281,Post371,1,17,Mar-17
User7278,Post152,1,5,Mar-17
User7277,Post281,1,12,Feb-17
User7274,Post567,1,7,Apr-17
User7273,Post500,1,5,Mar-17
User7270,Post036,1,1,Apr-17
User7269,Post025,1,7,Mar-17
User7265,Post571,1,12,Feb-17
User7263,Post447,1,1,Mar-17
User7258,Post032,1,13,Apr-17
User7257,Post050,1,9,Mar-17
User7253,Post439,1,12,Apr-17
User7253,Post066,1,12,Mar-17
User7252,Post281,1,12,Feb-17
User7250,Post546,1,9,Mar-17
User7249,Post500,1,5,Mar-17
User7248,Post066,1,12,Mar-17
User7247,Post281,1,12,Feb-17
User7245,Post439,1,12,Apr-17
User7242,Post500,1,5,Mar-17
User7239,Post548,1,10,Mar-17
User7237,Post120,1,8,Mar-17
User7233,Post500,1,5,Mar-17
User7233,Post507,1,8,Mar-17
User7232,Post036,1,1,Apr-17
User7232,Post287,1,1,Apr-17
User7227,Post287,1,1,Apr-17
User7227,Post152,1,5,Mar-17
User7227,Post428,1,7,Mar-17
User7226,Post611,1,4,Apr-17
User7223,Post500,1,5,Mar-17
User7220,Post500,1,5,Mar-17
User7219,Post447,1,1,Mar-17
User7206,Post500,1,5,Mar-17
User7204,Post439,1,12,Apr-17
User7203,Post569,1,17,Mar-17
User7200,Post019,1,7,Apr-17
User7198,Post500,1,5,Mar-17
User7197,Post036,1,1,Apr-17
User7195,Post281,1,12,Feb-17
User7188,Post152,1,5,Mar-17
User7187,Post447,1,1,Mar-17
User7181,Post281,1,12,Feb-17
User7176,Post447,1,1,Mar-17
User7172,Post281,1,12,Feb-17
User7171,Post447,1,1,Mar-17
User7165,Post239,1,8,Mar-17
User7160,Post343,1,2,Apr-17
User7158,Post066,1,12,Mar-17
User7157,Post281,1,12,Feb-17
User7153,Post190,1,10,Feb-17
User7151,Post500,1,5,Mar-17
User7145,Post281,1,12,Feb-17
User7143,Post469,1,13,Mar-17
User7140,Post032,1,13,Apr-17
User7138,Post447,1,1,Mar-17
User7138,Post281,1,12,Feb-17
User7134,Post252,1,7,Apr-17
User7134,Post500,1,5,Mar-17
User7131,Post070,1,8,Feb-17
User7129,Post281,1,12,Feb-17
User7126,Post439,1,12,Apr-17
User7125,Post239,1,8,Mar-17
User7124,Post281,1,12,Feb-17
User7123,Post036,1,1,Apr-17
User7122,Post343,1,2,Apr-17
User7122,Post546,1,9,Mar-17
User7118,Post036,1,1,Apr-17
User7115,Post281,1,12,Feb-17
User7114,Post274,1,8,Mar-17
User7108,Post025,1,7,Mar-17
User7105,Post570,1,8,Feb-17
User7098,Post536,1,14,Jan-17
User7095,Post500,1,5,Mar-17
User7093,Post447,1,1,Mar-17
User7086,Post546,1,9,Mar-17
User7085,Post281,1,12,Feb-17
User7081,Post546,1,9,Mar-17
User7075,Post120,1,8,Mar-17
User7073,Post371,1,17,Mar-17
User7072,Post281,1,12,Feb-17
User7071,Post447,1,1,Mar-17
User7068,Post439,1,12,Apr-17
User7067,Post120,1,8,Mar-17
User7064,Post036,1,1,Apr-17
User7064,Post597,1,1,Apr-17
User7061,Post546,1,9,Mar-17
User7059,Post500,1,5,Mar-17
User7054,Post597,1,1,Apr-17
User7051,Post185,1,13,Mar-17
User7049,Post500,1,5,Mar-17
User7047,Post447,1,1,Mar-17
User7044,Post066,1,12,Mar-17
User7043,Post281,1,12,Feb-17
User7042,Post190,1,10,Feb-17
User7041,Post156,1,5,Apr-17
User7041,Post569,1,17,Mar-17
User7041,Post507,1,8,Mar-17
User7038,Post546,1,9,Mar-17
User7036,Post252,1,7,Apr-17
User7031,Post548,1,10,Mar-17
User7030,Post500,1,5,Mar-17
User7029,Post597,1,1,Apr-17
User7028,Post371,1,17,Mar-17
User7027,Post036,1,1,Apr-17
User7027,Post571,1,12,Feb-17
User7026,Post447,1,1,Mar-17
User7022,Post281,1,12,Feb-17
User7021,Post571,1,12,Feb-17
User7021,Post281,1,12,Feb-17
User7020,Post609,1,9,Feb-17
User7019,Post281,1,12,Feb-17
User7017,Post201,1,13,Mar-17
User7015,Post252,1,7,Apr-17
User7011,Post035,1,12,Apr-17
User7009,Post281,1,12,Feb-17
User7005,Post201,1,13,Mar-17
User7002,Post036,1,1,Apr-17
User7002,Post567,1,7,Apr-17
User7002,Post066,1,12,Mar-17
User7001,Post281,1,12,Feb-17
User7000,Post550,1,8,Apr-17
User6997,Post567,1,7,Apr-17
User6993,Post287,1,1,Apr-17
User6992,Post281,1,12,Feb-17
User6990,Post185,1,13,Mar-17
User6988,Post500,1,5,Mar-17
User6985,Post609,1,9,Feb-17
User6981,Post281,1,12,Feb-17
User6979,Post281,1,12,Feb-17
User6977,Post025,1,7,Mar-17
User6977,Post428,1,7,Mar-17
User6972,Post546,1,9,Mar-17
User6970,Post567,1,7,Apr-17
User6965,Post281,1,12,Feb-17
User6962,Post065,1,3,Apr-17
User6961,Post447,1,1,Mar-17
User6956,Post287,1,1,Apr-17
User6951,Post546,1,9,Mar-17
User6947,Post281,1,12,Feb-17
User6946,Post447,1,1,Mar-17
User6942,Post036,1,1,Apr-17
User6940,Post287,1,1,Apr-17
User6939,Post571,1,12,Feb-17
User6935,Post328,1,9,Apr-17
User6934,Post120,1,8,Mar-17
User6933,Post500,1,5,Mar-17
User6932,Post513,1,6,Jan-17
User6931,Post546,1,9,Mar-17
User6923,Post500,1,5,Mar-17
User6922,Post281,1,12,Feb-17
User6921,Post500,1,5,Mar-17
User6919,Post281,1,12,Feb-17
User6914,Post121,1,6,Feb-17
User6909,Post597,1,1,Apr-17
User6907,Post567,1,7,Apr-17
User6907,Post439,1,12,Apr-17
User6906,Post439,1,12,Apr-17
User6904,Post439,1,12,Apr-17
User6903,Post571,1,12,Feb-17
User6898,Post010,1,8,Mar-17
User6897,Post281,1,12,Feb-17
User6896,Post274,1,8,Mar-17
User6896,Post185,1,13,Mar-17
User6896,Post447,1,1,Mar-17
User6895,Post500,1,5,Mar-17
User6894,Post371,1,17,Mar-17
User6893,Post037,1,2,Apr-17
User6889,Post546,1,9,Mar-17
User6888,Post611,1,4,Apr-17
User6888,Post025,1,7,Mar-17
User6887,Post550,1,8,Apr-17
User6882,Post470,1,8,Mar-17
User6881,Post507,1,8,Mar-17
User6879,Post597,1,1,Apr-17
User6878,Post571,1,12,Feb-17
User6875,Post176,1,2,Feb-17
User6872,Post546,1,9,Mar-17
User6871,Post287,1,1,Apr-17
User6866,Post500,1,5,Mar-17
User6861,Post036,1,1,Apr-17
User6859,Post249,1,17,Mar-17
User6856,Post469,1,13,Mar-17
User6855,Post051,1,11,Apr-17
User6854,Post174,1,15,Mar-17
User6852,Post571,1,12,Feb-17
User6849,Post597,1,1,Apr-17
User6849,Post447,1,1,Mar-17
User6845,Post500,1,5,Mar-17
User6839,Post036,1,1,Apr-17
User6826,Post221,1,14,Mar-17
User6825,Post500,1,5,Mar-17
User6824,Post124,1,15,Feb-17
User6824,Post417,1,11,Feb-17
User6824,Post571,1,12,Feb-17
User6819,Post252,1,7,Apr-17
User6819,Post025,1,7,Mar-17
User6818,Post597,1,1,Apr-17
User6817,Post287,1,1,Apr-17
User6817,Post500,1,5,Mar-17
User6817,Post548,1,10,Mar-17
User6817,Post010,1,8,Mar-17
User6816,Post044,1,16,Feb-17
User6815,Post570,1,8,Feb-17
User6812,Post281,1,12,Feb-17
User6806,Post439,1,12,Apr-17
User6802,Post066,1,12,Mar-17
User6795,Post422,1,2,Mar-17
User6792,Post371,1,17,Mar-17
User6792,Post201,1,13,Mar-17
User6791,Post500,1,5,Mar-17
User6788,Post047,1,9,Apr-17
User6788,Post301,1,1,Apr-17
User6788,Post546,1,9,Mar-17
User6788,Post239,1,8,Mar-17
User6785,Post281,1,12,Feb-17
User6780,Post243,1,16,Jan-17
User6779,Post571,1,12,Feb-17
User6779,Post281,1,12,Feb-17
User6778,Post500,1,5,Mar-17
User6777,Post500,1,5,Mar-17
User6777,Post297,1,13,Mar-17
User6776,Post181,1,16,Mar-17
User6776,Post433,1,8,Mar-17
User6771,Post550,1,8,Apr-17
User6770,Post025,1,7,Mar-17
User6769,Post281,1,12,Feb-17
User6768,Post447,1,1,Mar-17
User6768,Post281,1,12,Feb-17
User6766,Post287,1,1,Apr-17
User6766,Post439,1,12,Apr-17
User6766,Post470,1,8,Mar-17
User6765,Post447,1,1,Mar-17
User6764,Post201,1,13,Mar-17
User6750,Post320,1,8,Mar-17
User6748,Post287,1,1,Apr-17
User6744,Post469,1,13,Mar-17
User6744,Post388,1,13,Mar-17
User6742,Post500,1,5,Mar-17
User6741,Post504,1,3,Apr-17
User6740,Post500,1,5,Mar-17
User6739,Post571,1,12,Feb-17
User6738,Post463,1,1,Apr-17
User6737,Post252,1,7,Apr-17
User6736,Post609,1,9,Feb-17
User6734,Post047,1,9,Apr-17
User6733,Post546,1,9,Mar-17
User6730,Post035,1,12,Apr-17
User6725,Post500,1,5,Mar-17
User6724,Post371,1,17,Mar-17
User6721,Post597,1,1,Apr-17
User6718,Post190,1,10,Feb-17
User6714,Post281,1,12,Feb-17
User6710,Post025,1,7,Mar-17
User6709,Post036,1,1,Apr-17
User6708,Post025,1,7,Mar-17
User6708,Post600,1,7,Mar-17
User6706,Post500,1,5,Mar-17
User6703,Post507,1,8,Mar-17
User6693,Post439,1,12,Apr-17
User6692,Post287,1,1,Apr-17
User6692,Post281,1,12,Feb-17
User6689,Post597,1,1,Apr-17
User6688,Post447,1,1,Mar-17
User6686,Post500,1,5,Mar-17
User6684,Post571,1,12,Feb-17
User6682,Post567,1,7,Apr-17
User6677,Post536,1,14,Jan-17
User6676,Post120,1,8,Mar-17
