Source,Target,Weight,July19Topic,PostDate
User0097,Post410,2,13,SepDec-17
User0090,Post158,2,11,SepDec-17
User0029,Post158,2,11,SepDec-17
User6313,Post426,2,15,MayAug-17
User6310,Post136,2,4,JanApr-17
User6309,Post441,2,14,MayAug-17
User6306,Post451,2,8,JanApr-17
User6257,Post500,2,5,JanApr-17
User6230,Post036,2,1,JanApr-17
User6172,Post513,2,6,JanApr-17
User6169,Post477,2,17,SepDec-17
User6139,Post488,2,15,MayAug-17
User2270,Post118,2,5,SepDec-17
User6139,Post500,2,5,JanApr-17
User6132,Post281,2,12,JanApr-17
User6124,Post281,2,12,JanApr-17
User6071,Post164,2,5,SepDec-17
User6028,Post571,2,12,JanApr-17
User6018,Post500,2,5,JanApr-17
User6002,Post493,2,1,SepDec-17
User7379,Post227,2,14,SepDec-17
User5980,Post540,2,12,SepDec-17
User5980,Post238,2,16,SepDec-17
User5967,Post120,2,8,JanApr-17
User5965,Post325,2,7,MayAug-17
User5946,Post571,2,12,JanApr-17
User5936,Post281,2,12,JanApr-17
User5869,Post281,2,12,JanApr-17
User5861,Post175,2,18,SepDec-17
User5849,Post571,2,12,JanApr-17
User5825,Post036,2,1,JanApr-17
User5699,Post281,2,12,JanApr-17
User5683,Post385,2,12,MayAug-17
User5656,Post281,2,12,JanApr-17
User5651,Post185,2,13,JanApr-17
User5637,Post508,2,2,SepDec-17
User5633,Post066,2,12,JanApr-17
User5627,Post150,2,15,MayAug-17
User5544,Post375,2,5,SepDec-17
User5535,Post345,2,5,MayAug-17
User5522,Post381,2,18,SepDec-17
User5479,Post185,2,13,JanApr-17
User5445,Post279,2,14,MayAug-17
User5435,Post447,2,1,JanApr-17
User5349,Post190,2,10,JanApr-17
User5342,Post190,2,10,JanApr-17
User5251,Post447,2,1,JanApr-17
User5249,Post036,2,1,JanApr-17
User5184,Post285,2,18,SepDec-17
User5113,Post075,2,13,SepDec-16
User5046,Post498,2,7,SepDec-17
User5026,Post452,2,16,SepDec-17
User5004,Post194,2,8,JanApr-17
User5003,Post417,2,11,JanApr-17
User4934,Post025,2,7,JanApr-17
User4846,Post281,2,12,JanApr-17
User4824,Post086,2,8,SepDec-17
User4820,Post150,2,15,MayAug-17
User4811,Post066,2,12,JanApr-17
User4805,Post281,2,12,JanApr-17
User4781,Post129,2,11,MayAug-17
User4761,Post252,2,7,JanApr-17
User4664,Post281,2,12,JanApr-17
User4644,Post201,2,13,JanApr-17
User4633,Post536,2,14,JanApr-17
User4595,Post150,2,15,MayAug-17
User4571,Post237,2,3,MayAug-16
User4563,Post103,2,10,MayAug-17
User4539,Post279,2,14,MayAug-17
User4533,Post150,2,15,MayAug-17
User4532,Post441,2,14,MayAug-17
User4527,Post233,2,10,SepDec-17
User4500,Post447,2,1,JanApr-17
User4462,Post569,2,17,JanApr-17
User4447,Post593,2,14,SepDec-17
User4394,Post066,2,12,JanApr-17
User4354,Post036,2,1,JanApr-17
User4354,Post597,2,1,JanApr-17
User4350,Post066,2,12,JanApr-17
User4349,Post079,2,2,JanApr-17
User4338,Post120,2,8,JanApr-17
User4322,Post066,2,12,JanApr-17
User4315,Post120,2,8,JanApr-17
User4285,Post065,2,3,JanApr-17
User4262,Post269,2,12,SepDec-17
User4216,Post571,2,12,JanApr-17
User4116,Post025,2,7,JanApr-17
User4105,Post281,2,12,JanApr-17
User4098,Post452,2,16,SepDec-17
User4068,Post492,2,13,MayAug-17
User4057,Post539,2,4,JanApr-17
User4029,Post462,2,5,SepDec-16
User3976,Post287,2,1,JanApr-17
User3943,Post238,2,16,SepDec-17
User3920,Post593,2,14,SepDec-17
User3915,Post493,2,1,SepDec-17
User3902,Post074,2,1,MayAug-17
User3845,Post039,2,1,MayAug-17
User3840,Post136,2,4,JanApr-17
User3834,Post281,2,12,JanApr-17
User3824,Post093,2,18,SepDec-17
User3808,Post367,2,1,MayAug-17
User3789,Post385,2,12,MayAug-17
User3759,Post010,2,8,JanApr-17
User3696,Post279,2,14,MayAug-17
User3611,Post203,2,13,SepDec-17
User3600,Post441,2,14,MayAug-17
User3570,Post025,2,7,JanApr-17
User3570,Post281,2,12,JanApr-17
User3522,Post381,2,18,SepDec-17
User3512,Post514,2,NA,SepDec-17
User3509,Post452,2,16,SepDec-17
User3494,Post493,2,1,SepDec-17
User3478,Post417,2,11,JanApr-17
User3411,Post084,2,18,MayAug-17
User3411,Post069,2,14,JanApr-17
User3384,Post274,2,8,JanApr-17
User3357,Post190,2,10,JanApr-17
User3282,Post571,2,12,JanApr-17
User3282,Post536,2,14,JanApr-17
User3270,Post150,2,15,MayAug-17
User3258,Post281,2,12,JanApr-17
User3164,Post339,2,2,SepDec-17
User3164,Post346,2,3,SepDec-17
User3130,Post087,2,12,SepDec-17
User3068,Post606,2,7,MayAug-17
User3047,Post375,2,5,SepDec-17
User3040,Post597,2,1,JanApr-17
User3037,Post375,2,5,SepDec-17
User2993,Post430,2,2,MayAug-17
User2977,Post571,2,12,JanApr-17
User2890,Post120,2,8,JanApr-17
User2885,Post233,2,10,SepDec-17
User2872,Post447,2,1,JanApr-17
User2835,Post558,2,16,SepDec-17
User2830,Post452,2,16,SepDec-17
User2820,Post190,2,10,JanApr-17
User2757,Post441,2,14,MayAug-17
User2737,Post281,2,12,JanApr-17
User2715,Post281,2,12,JanApr-17
User2711,Post493,2,1,SepDec-17
User2696,Post347,2,1,MayAug-17
